epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2204,2.18267,3.45576,1.60145,0.16935,0.34444,0.26261,0.09532,2.1679,3.63561,1.52128,0.0847,0.0017,0.0017
2,12.0985,2.43086,2.75727,1.82117,0.14454,0.26667,0.20136,0.05515,2.19397,3.69717,1.59439,0.0667675,0.0017675,0.0017675
